Phoenicopterus roseus
Phoenicurus ochruros
Phoenicurus phoenicurus
Phylloscopus bonelli
Phylloscopus collybita
Phylloscopus inornatus
Phylloscopus proregulus
Phylloscopus sibilatrix
Phylloscopus trochilus
Pica pica
Picoides tridactylus
Picus canus
Picus viridis
Platalea alba
Platalea leucorodia
Plectrophenax nivalis
Plegadis falcinellus
Pluvialis apricaria
Pluvialis squatarola
Podiceps auritus
Podiceps cristatus
Podiceps grisegena
Podiceps nigricollis
Porphyrio porphyrio
Porzana parva
Porzana porzana
Porzana pusilla
Prunella atrogularis
Prunella collaris
Prunella modularis
Psittacula krameri
Puffinus yelkouan
Pyrrhocorax graculus
Pyrrhula pyrrhula
Rallus aquaticus
Recurvirostra avosetta
Regulus ignicapilla
Regulus regulus
Remiz pendulinus
Riparia riparia
Rissa tridactyla
Saxicola rubetra
Saxicola torquatus
Scolopax rusticola
Serinus serinus
Sitta europaea
Sitta neumayer
Somateria mollissima
Stercorarius longicaudus
Stercorarius parasiticus
Stercorarius pomarinus
Sterna albifrons
Sterna caspia
Sterna hirundo
Sterna nilotica
Sterna sandvicensis
Streptopelia decaocto
Streptopelia turtur
Strix aluco
Strix uralensis
Sturnus roseus
Sturnus vulgaris
Sylvia atricapilla
Sylvia borin
Sylvia cantillans
Sylvia communis
Sylvia curruca
Sylvia hortensis
Sylvia melanocephala
Sylvia nisoria
Sylvia undata
Syrrhaptes paradoxus
Tachybaptus ruficollis
Tachymarptis melba
Tadorna ferruginea
Tadorna tadorna
Tetrao tetrix
Tetrao urogallus
Tetrax tetrax
Tichodroma muraria
Torgos tracheliotos
Tringa erythropus
Tringa glareola
Tringa melanoleuca
Tringa nebularia
Tringa ochropus
Tringa stagnatilis
Tringa totanus
Troglodytes troglodytes
Turdus eunomus
Turdus iliacus
Turdus merula
Turdus philomelos
Turdus pilaris
Turdus torquatus
Turdus viscivorus
Tyto alba
Upupa epops
Vanellus leucurus
Vanellus spinosus
Vanellus vanellus
Xenus cinereus
